date,equity
2024-01-01,100000.0
2024-01-02,100000.0
2024-01-03,100000.0
2024-01-04,100000.0
2024-01-05,100000.0
2024-01-06,100000.0
2024-01-07,100000.0
2024-01-08,99971.722699
2024-01-09,99351.722699
2024-01-10,98704.44781400001
2024-01-11,98704.44781400001
2024-01-12,98704.44781400001
2024-01-13,98704.44781400001
2024-01-14,98704.44781400001
2024-01-15,98704.44781400001
2024-01-16,98704.44781400001
2024-01-17,98704.44781400001
2024-01-18,98689.03692500002
2024-01-19,99229.03692500002
2024-01-20,99910.72574300002
2024-01-21,102292.78638000003
2024-01-22,105451.81019700003
2024-01-23,108651.81019700003
2024-01-24,111851.81019700003
2024-01-25,115051.81019700003
2024-01-26,118251.81019700003
2024-01-27,121451.81019700003
2024-01-28,119851.81019700003
2024-01-29,117451.81019700003
2024-01-30,114251.81019700003
2024-01-31,110969.26567700003
2024-02-01,110969.26567700003
2024-02-02,110969.26567700003
2024-02-03,110969.26567700003
2024-02-04,110969.26567700003
2024-02-05,110969.26567700003
2024-02-06,110969.26567700003
2024-02-07,110969.26567700003
2024-02-08,110969.26567700003
