date,equity
2024-01-01,100000.0
2024-01-02,100000.0
2024-01-03,100000.0
2024-01-04,100000.0
2024-01-05,100000.0
2024-01-06,100000.0
2024-01-07,100000.0
2024-01-08,99971.722699
2024-01-09,99351.722699
2024-01-10,98731.722699
2024-01-11,98111.722699
2024-01-12,97491.722699
2024-01-13,96871.722699
2024-01-14,96251.722699
2024-01-15,95631.722699
2024-01-16,96251.722699
2024-01-17,96871.722699
2024-01-18,97801.722699
2024-01-19,98704.44781400001
2024-01-20,98704.44781400001
2024-01-21,98704.44781400001
2024-01-22,98704.44781400001
2024-01-23,98704.44781400001
2024-01-24,98704.44781400001
2024-01-25,98704.44781400001
2024-01-26,98704.44781400001
2024-01-27,98704.44781400001
2024-01-28,98704.44781400001
2024-01-29,98704.44781400001
2024-01-30,98704.44781400001
2024-01-31,98698.25465300001
2024-02-01,98381.387491
2024-02-02,97461.387491
2024-02-03,96541.387491
2024-02-04,95621.387491
2024-02-05,94931.387491
2024-02-06,94241.387491
2024-02-07,93551.387491
2024-02-08,92861.387491
